Date,Interval,Datetime,MP,CP35,30ImbWei,30ExAnte,7ImbWei,7ExAnte
12/10/2018,1,12/10/2018 6:00,9.4211,9.607134286,9.33902,9.364506667,9.449314286,9.342271429
12/10/2018,2,12/10/2018 10:00,9.55,9.589134286,9.33902,9.231613333,9.337585714,9.342271429
12/10/2018,3,12/10/2018 14:00,9.4,9.586142857,9.33902,9.092263333,9.262828571,9.342271429
12/10/2018,4,12/10/2018 18:00,9.43,9.591285714,9.33902,8.96023,9.251571429,9.342271429
12/10/2018,5,12/10/2018 22:00,8.8,9.588171429,9.33902,8.977903333,9.3885,9.342271429
13/10/2018,1,13/10/2018 6:00,8.6011,9.58106,9.354936667,9.378543333,9.3409,9.287
13/10/2018,2,13/10/2018 10:00,9.2,9.585474286,9.354936667,9.256613333,9.344057143,9.287
13/10/2018,3,13/10/2018 14:00,9.169,9.600982857,9.354936667,9.122596667,9.284257143,9.287
13/10/2018,4,13/10/2018 18:00,8.8166,9.610028571,9.354936667,8.997896667,9.326,9.287
13/10/2018,5,13/10/2018 22:00,8.8166,9.619074286,9.354936667,9.00357,9.381357143,9.287
14/10/2018,1,14/10/2018 6:00,8.5,9.619074286,9.359453333,9.381243333,9.277414286,9.202671429
14/10/2018,2,14/10/2018 10:00,8.5,9.602568571,9.359453333,9.271653333,9.426028571,9.202671429
14/10/2018,3,14/10/2018 14:00,8.48,9.582854286,9.359453333,9.150563333,9.379828571,9.202671429
14/10/2018,4,14/10/2018 18:00,8.4,9.560854286,9.359453333,9.025116667,9.371228571,9.202671429
14/10/2018,5,14/10/2018 22:00,8.41,9.53914,9.359453333,9.047383333,9.426585714,9.202671429
15/10/2018,1,15/10/2018 6:00,8.6011,9.5162,9.359866667,9.381243333,9.194885714,9.101657143
15/10/2018,2,15/10/2018 10:00,8.49,9.494485714,9.359866667,9.271653333,9.330314286,9.101657143
15/10/2018,3,15/10/2018 14:00,8.1589,9.461534286,9.359866667,9.162896667,9.281257143,9.101657143
15/10/2018,4,15/10/2018 18:00,8.1,9.424391429,9.359866667,9.04845,9.261228571,9.101657143
15/10/2018,5,15/10/2018 22:00,7.8711,9.377185714,9.359866667,9.07105,9.284585714,9.101657143
16/10/2018,1,16/10/2018 6:00,8.49,9.345471429,9.360876667,9.382986667,9.102185714,8.9768
16/10/2018,2,16/10/2018 10:00,7.9088,9.304734286,9.360876667,9.302396667,9.212857143,8.9768
16/10/2018,3,16/10/2018 14:00,8.3,9.276162857,9.360876667,9.173883333,9.103957143,8.9768
16/10/2018,4,16/10/2018 18:00,8.99,9.265845714,9.360876667,9.014116667,9.0579,8.9768
16/10/2018,5,16/10/2018 22:00,9.65,9.269274286,9.360876667,9.006753333,9.0376,8.9768
17/10/2018,1,17/10/2018 6:00,9.2,9.223591429,9.31252,9.333283333,8.981528571,8.919214286
17/10/2018,2,17/10/2018 10:00,9.32,9.214771429,9.31252,9.23332,9.014114286,8.919214286
17/10/2018,3,17/10/2018 14:00,9.32,9.203057143,9.31252,9.125883333,8.9538,8.919214286
17/10/2018,4,17/10/2018 18:00,9.47,9.198522857,9.31252,9.023116667,8.980757143,8.919214286
17/10/2018,5,17/10/2018 22:00,9.4777,9.194208571,9.31252,9.045086667,8.873471429,8.919214286
18/10/2018,1,18/10/2018 6:00,9.3577,9.18446,9.314553333,9.331913333,8.920285714,8.901071429
18/10/2018,2,18/10/2018 10:00,9.619,9.184182857,9.314553333,9.230816667,8.955542857,8.901071429
18/10/2018,3,18/10/2018 14:00,9.9793,9.191591429,9.314553333,9.152513333,8.9097,8.901071429
18/10/2018,4,18/10/2018 18:00,10.9,9.230448571,9.314553333,9.071783333,8.958085714,8.901071429
18/10/2018,5,18/10/2018 22:00,12,9.301877143,9.314553333,9.09401,8.841871429,8.901071429
19/10/2018,1,19/10/2018 6:00,9.5077,9.320162857,9.330653333,9.34417,8.881571429,8.912871429
19/10/2018,2,19/10/2018 10:00,9.79,9.330702857,9.330653333,9.251116667,8.941114286,8.912871429
19/10/2018,3,19/10/2018 14:00,9.4788,9.328668571,9.330653333,9.190156667,8.972457143,8.912871429
19/10/2018,4,19/10/2018 18:00,9.3866,9.328285714,9.330653333,9.13845,9.158085714,8.912871429
19/10/2018,5,19/10/2018 22:00,9.09,9.318571429,9.330653333,9.177353333,9.289342857,8.912871429
20/10/2018,1,20/10/2018 6:00,9.36,9.334571429,9.322556667,9.335093333,8.893942857,9.018585714
20/10/2018,2,20/10/2018 10:00,9.3866,9.357014286,9.322556667,9.260783333,8.9754,9.018585714
